id_student,gender,region,imd_band,num_of_prev_attempts,studied_credits,disability,final_result,burnout,avg_clicks_per_week,total_failed_or_missed,engagement_duration_days,gender_flag,age_0-35,age_35-55,age_55<=,edu_A Level or Equivalent,edu_HE Qualification,edu_Lower Than A Level,edu_No Formal quals,edu_Post Graduate Qualification
11391,M,East Anglian Region,90-100%,0,240,N,Pass,0,0.1592426730057365,0,412,1,False,False,True,False,True,False,False,False
28400,F,Scotland,20-30%,0,60,N,Pass,0,0.2672539090917081,0,292,0,False,True,False,False,True,False,False,False
30268,F,North Western Region,30-40%,0,60,Y,Withdrawn,1,0.28530460767302873,0,104,0,False,True,False,True,False,False,False,False
31604,F,South East Region,50-60%,0,60,N,Pass,1,0.2119220697126482,0,316,0,False,True,False,True,False,False,False,False
32885,F,West Midlands Region,50-60%,0,60,N,Pass,0,0.09512022155456354,0,423,0,True,False,False,False,False,True,False,False
38053,M,Wales,80-90%,0,60,N,Pass,0,0.1316359794064071,0,377,1,False,True,False,True,False,False,False,False
45462,M,Scotland,30-40%,0,60,N,Pass,1,0.24830331120081753,0,334,1,True,False,False,False,True,False,False,False
45642,F,North Western Region,90-100%,0,120,N,Pass,0,0.23839242112632208,0,293,0,True,False,False,True,False,False,False,False
52130,F,East Anglian Region,70-80%,0,90,N,Pass,0,0.22159315409438576,0,278,0,True,False,False,True,False,False,False,False
53025,M,North Region,70-80%,0,60,N,Pass,1,0.09136175323086325,0,436,1,False,False,True,False,False,False,False,True
57506,M,South Region,70-80%,0,60,N,Pass,0,0.14912210812830157,0,346,1,False,True,False,False,False,True,False,False
58873,F,East Anglian Region,20-30%,0,60,N,Pass,0,0.23999822159431916,0,303,0,True,False,False,True,False,False,False,False
59185,M,East Anglian Region,60-70%,0,60,N,Pass,0,0.24961345281949793,0,304,1,False,True,False,False,False,True,False,False
62155,F,North Western Region,50-60%,0,60,N,Pass,1,0.17613459244283006,0,333,0,True,False,False,False,True,False,False,False
63400,M,Scotland,40-50%,0,60,N,Pass,0,0.2028877719688525,0,335,1,False,True,False,False,False,True,False,False
65002,F,East Anglian Region,70-80%,0,60,N,Withdrawn,1,0.10932589548809223,0,395,0,True,False,False,True,False,False,False,False
70464,F,West Midlands Region,60-70%,0,60,N,Pass,0,0.24887869948057809,0,343,0,False,True,False,True,False,False,False,False
71361,M,Ireland,70-80%,0,60,N,Pass,0,0.12623396860495706,0,373,1,False,True,False,False,True,False,False,False
74372,M,East Anglian Region,70-80%,0,150,N,Fail,1,0.12186237789529891,0,263,1,False,True,False,True,False,False,False,False
75091,M,South West Region,30-40%,0,60,N,Pass,0,0.16789532779552832,0,361,1,False,True,False,True,False,False,False,False
77367,M,East Midlands Region,30-40%,0,60,N,Pass,1,0.35097473430889664,0,277,1,True,False,False,True,False,False,False,False
91265,M,North Western Region,0-10%,0,60,N,Pass,1,0.2531275301476495,0,290,1,True,False,False,False,True,False,False,False
94961,M,South Region,70-80%,0,60,N,Withdrawn,1,0.10339638748459418,0,435,1,False,True,False,False,False,True,False,False
98094,M,Wales,70-80%,0,60,N,Pass,0,0.3424872493901931,0,371,1,False,True,False,False,False,True,False,False
100893,M,Yorkshire Region,20-30%,0,60,N,Pass,1,0.17157956152015055,0,312,1,True,False,False,True,False,False,False,False
101781,M,South Region,80-90%,0,60,N,Pass,0,0.19331377319484147,0,371,1,False,True,False,False,False,True,False,False
102806,M,North Western Region,30-40%,0,60,N,Pass,0,0.09970932952955792,0,374,1,True,False,False,True,False,False,False,False
102952,M,London Region,60-70%,0,60,N,Pass,1,0.15775503329950835,0,346,1,True,False,False,False,True,False,False,False
104476,M,Ireland,70-80%,0,60,N,Pass,1,0.1824714853161825,0,367,1,False,True,False,False,False,False,False,True
106247,M,South Region,80-90%,0,60,N,Withdrawn,1,1.0147097143571469,0,145,1,False,True,False,False,True,False,False,False
106577,M,East Midlands Region,20-30%,0,60,N,Pass,1,0.14676069671678887,0,360,1,True,False,False,False,False,True,False,False
110175,M,East Anglian Region,80-90%,0,60,N,Pass,0,0.11088074187372213,0,352,1,False,True,False,False,True,False,False,False
111717,F,East Anglian Region,90-100%,0,60,N,Pass,0,0.3352145692561268,0,292,0,False,True,False,False,True,False,False,False
113295,M,Yorkshire Region,60-70%,0,60,N,Pass,0,0.34500134882066963,0,287,1,False,True,False,False,False,True,False,False
114017,F,North Region,70-80%,0,60,N,Pass,0,0.4060562268701193,0,286,0,False,True,False,False,False,False,False,True
114999,M,Yorkshire Region,60-70%,0,60,N,Pass,0,0.15056346057699765,0,332,1,False,True,False,False,True,False,False,False
116541,M,Wales,0-10%,0,60,N,Pass,1,0.18250775497107846,0,310,1,True,False,False,False,True,False,False,False
116692,M,East Anglian Region,70-80%,0,60,N,Pass,0,0.5439409090958944,0,260,1,False,True,False,True,False,False,False,False
118983,M,East Midlands Region,30-40%,0,120,N,Pass,1,0.10638376851633909,0,367,1,True,False,False,False,True,False,False,False
123044,M,South Region,40-50%,0,60,N,Pass,0,0.17331057279215512,0,329,1,False,True,False,True,False,False,False,False
127582,F,East Midlands Region,40-50%,0,180,N,Pass,1,0.2518961917209828,0,271,0,True,False,False,True,False,False,False,False
129955,M,West Midlands Region,50-60%,0,60,N,Withdrawn,1,0.10979380129381927,0,338,1,True,False,False,True,False,False,False,False
132976,F,East Anglian Region,80-90%,0,120,N,Pass,0,0.16668197281243433,0,317,0,False,True,False,False,False,True,False,False
134143,F,South East Region,90-100%,0,60,N,Distinction,1,0.20234285065534724,0,364,0,False,True,False,True,False,False,False,False
135335,F,East Anglian Region,20-30%,0,180,N,Withdrawn,1,0.34625619478560654,0,53,0,True,False,False,False,False,True,False,False
135400,F,South East Region,90-100%,0,60,Y,Withdrawn,1,0.328171588014806,0,265,0,False,True,False,False,False,True,False,False
137873,M,South West Region,40-50%,0,60,N,Pass,1,0.09758740180594992,0,445,1,False,True,False,True,False,False,False,False
141355,F,East Midlands Region,30-40%,0,240,N,Pass,0,0.18009103361225748,0,317,0,True,False,False,True,False,False,False,False
141377,M,South West Region,90-100%,0,345,N,Withdrawn,1,0.10515055490813553,0,351,1,True,False,False,True,False,False,False,False
142326,F,North Region,50-60%,0,60,N,Pass,1,0.23107729004062258,0,279,0,False,True,False,True,False,False,False,False
144801,F,South Region,80-90%,0,60,N,Pass,0,0.16651383543199516,0,334,0,False,True,False,False,True,False,False,False
145130,M,South West Region,60-70%,0,120,N,Pass,1,0.3224688979724549,0,297,1,True,False,False,False,True,False,False,False
146188,F,West Midlands Region,20-30%,0,60,Y,Fail,1,0.10639562097943912,0,387,0,True,False,False,True,False,False,False,False
147756,M,North Region,60-70%,0,120,N,Fail,1,0.1724018440210383,0,337,1,True,False,False,False,False,True,False,False
147793,F,North Region,80-90%,0,90,N,Withdrawn,1,0.1597677584064814,0,197,0,True,False,False,False,False,True,False,False
